arquivo,nCT,cCT,CFOP,dhEmi,tpAmb,modal,xMunIni,UFIni,xMunFim,UFFim,emit_CNPJ,emit_xNome,rem_CNPJ,rem_CPF,rem_xNome,dest_CNPJ,dest_CPF,dest_xNome,vTPrest,vRec,vCarga,proPred,CST,vBC,pICMS,vICMS,placa,UF_veiculo
cte_001.xml,4189,09110227,6353,2026-04-22T12:27:37-03:00,2,01,Salvador,BA,Salvador,BA,56874039000192,RODRIGUES S/A,71340582000101,,GARCIA,,79528103677,DRA. LUIZA VASCONCELOS,5130.78,5130.78,172034.07,ELETRODOMÉSTICOS,,,,,,
cte_002.xml,908971,79535703,6354,2026-03-31T07:00:33-03:00,2,01,Belo Horizonte,MG,Porto Alegre,RS,69241837000129,LOPES DA CRUZ LTDA.,70942613000123,,DA LUZ,,63471580948,SRTA. JÚLIA COSTA,1374.50,1374.50,39172.23,AUTOPEÇAS,,,,,,
cte_003.xml,557589,06677951,6353,2026-04-17T11:57:38-03:00,2,01,Campinas,SP,Campinas,SP,23516097000195,MELO S/A,25069847000153,,PASTOR LOPES - ME,,29506714380,LARISSA SILVEIRA,4096.37,4096.37,47657.10,MEDICAMENTOS,00,4498.52,12.00,539.82,,
cte_004.xml,791942,19922862,6351,2026-04-11T21:12:43-03:00,2,01,Rio de Janeiro,RJ,Rio de Janeiro,RJ,14570692000118,RIOS E FILHOS,97621580000176,,CÂMARA,,35160749810,AYLA VARGAS,5045.70,5045.70,143370.39,MEDICAMENTOS,,,,,,
cte_005.xml,262431,40691927,6352,2026-04-12T21:16:25-03:00,2,01,Campinas,SP,São Paulo,SP,03972654000175,DUARTE SAMPAIO S.A.,59786210000108,,FREITAS - ME,,14956782020,JULIA COSTELA,5110.16,5110.16,34001.34,VESTUÁRIO,60,,,,,
cte_006.xml,172394,39945771,6353,2026-04-21T10:57:39-03:00,2,01,Campinas,SP,Campinas,SP,09467358000101,MONTENEGRO,79630428000178,,DUARTE - ME,,74135609848,RENAN ALVES,1814.40,1814.40,18014.60,ELETRODOMÉSTICOS,,,,,,
cte_007.xml,254806,99567669,6351,2026-04-03T07:55:42-03:00,2,01,Rio de Janeiro,RJ,Campinas,SP,59714638000137,ABREU MACHADO S/A,12538974000102,,CASSIANO S.A.,,02914378696,ANA JÚLIA GONÇALVES,4437.69,4437.69,8380.02,VESTUÁRIO,00,1197.42,12.00,143.69,,
cte_008.xml,864872,47595014,6353,2026-04-17T16:09:04-03:00,2,01,Belo Horizonte,MG,Salvador,BA,61230495000130,DA ROSA MORAES - ME,69527801000106,,NOGUEIRA,,62478319519,LAVÍNIA ALBUQUERQUE,598.70,598.70,105385.66,AUTOPEÇAS,,,,,,
cte_009.xml,37499,31166791,6360,2026-04-26T09:13:21-03:00,2,01,Brasília,DF,Campinas,SP,92530176000173,DA MOTA S/A,02567319000129,,AZEVEDO ROCHA S/A,,60781342996,JOÃO FELIPE FERNANDES,3114.15,3114.15,121265.77,ELETRODOMÉSTICOS,00,1487.83,12.00,178.54,,
cte_010.xml,838029,67542649,6353,2026-04-18T02:51:39-03:00,2,01,Porto Alegre,RS,Campinas,SP,80524197000105,SALES,21964085000106,,ABREU,,85173290404,SRTA. PIETRA BORGES,4373.79,4373.79,108661.00,VESTUÁRIO,,,,,,
